asset_1,asset_2,corr,pvalue,coint_t,crit_1pct,crit_5pct,crit_10pct,hedge_ratio,intercept,n_obs
DIA,SPY,0.9206663398844245,0.01698639596141181,-3.725513697802907,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.5698243414015355,88.77727080225408,1255
DIA,XLK,0.7665559453037255,0.02280545116859985,-3.625058349672797,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,2.2199926906967433,156.74070674444908,1255
DIA,QQQ,0.7802792037561619,0.04163138639871443,-3.406520508984401,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.5434889358202444,139.85722847731301,1255
DIA,JPM,0.7143408531407048,0.06098590918239599,-3.256435921063662,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.8730272646618832,205.3875267386333,1255
DIA,XLI,0.9011668301603933,0.06120926963745802,-3.2549475721570458,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,2.5098987812617324,80.15382582306074,1255
XLE,XOM,0.9317228354021212,0.06697854270190771,-3.2179399421521167,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.35263569727281957,4.9021529288882535,1255
XLI,XLK,0.7061212065111533,0.08840663997541065,-3.0994832641228567,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.8746101788221188,31.39538406993729,1255
KO,XLP,0.7904255402235931,0.1113235754815986,-2.995313923741205,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,1.0895356060449424,-19.504205032309216,1255
AAPL,XLK,0.7804194671808982,0.12203160319733947,-2.9521127915520213,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,1.5453502201800702,39.71510748086608,1255
SPY,XLI,0.8612677502885397,0.1457821751137665,-2.865324069531656,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,4.355087699739825,-9.707816176582543,1255
AAPL,SPY,0.7567112132055736,0.15721986874595145,-2.827081623861555,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.3871951429973442,-3.1784319917806796,1255
SPY,XLK,0.9270521358270322,0.1892570911543338,-2.7291875617471,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,3.913316061160661,117.72000688288844,1255
QQQ,XLI,0.7114014717907086,0.1938263626951654,-2.7161433320127233,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,4.393464326657304,-85.27733872840092,1255
QQQ,SPY,0.9456751660052817,0.2041384799915587,-2.6874125589336364,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,1.0173875754759105,-79.48609323915106,1255
XLF,XLI,0.8455815725426468,0.2983226503049553,-2.457071535782566,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.3481304425055633,0.21296223235249,1255
AAPL,QQQ,0.7782451799396405,0.30748218114987536,-2.437118786542515,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.3693644492089856,31.504979160189478,1255
SPY,XLF,0.798051687471513,0.32582934049672324,-2.397944068063085,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,11.923567433347849,10.08219918238529,1255
CVX,XOM,0.8554355264907387,0.37170411068043097,-2.303707756991318,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.9838332747768797,43.9661337649948,1255
JPM,XLF,0.8605381661620356,0.3894651202365036,-2.2683152408273832,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,7.6333767767135114,-121.27865674180528,1255
MSFT,XLK,0.8258220622120827,0.3903702594528038,-2.2665244437161567,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,3.717272036099562,7.532939848096431,1255
MSFT,QQQ,0.817666008852876,0.516611321621888,-2.022984829818703,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.8949383038808549,-14.765268324056423,1255
BAC,JPM,0.8180796245071114,0.5341813897828677,-1.989211447708392,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.09746182868861994,19.47580626524877,1255
MSFT,SPY,0.7586090594185795,0.5519628152711059,-1.954830633675758,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.9183635523717574,-89.57061537877829,1255
DIA,XLF,0.8798824349115244,0.5533079388512829,-1.952219345119696,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,6.855868581736877,92.16614171216209,1255
QQQ,XLK,0.971636862747357,0.5564210234113932,-1.9461695259268244,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,4.027038756090279,36.20738573416911,1255
CVX,XLE,0.9123891775205308,0.5728547070527832,-1.9140685875935466,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,2.8249428825128198,29.02902891939191,1255
PEP,XLP,0.7692565723921023,0.6442780637983422,-1.76978715397076,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.7034910585610155,99.56980010535503,1255
BAC,XLF,0.8612077659319748,0.7409444341921028,-1.5514376274293518,-3.9051948931775575,-3.3410068269448447,-3.0478338668732143,0.8103619138706306,5.113085255915717,1255
